ess_criterion,habitual_tendency,repetition,episode,n_samples
500,1.0,18,2,36217
500,1.0,18,3,25701
500,1.0,18,4,30926
500,1.0,18,5,21182
500,1.0,18,6,17935
500,1.0,18,7,16374
500,1.0,18,8,14963
500,1.0,18,9,15996
500,1.0,18,10,14611
500,1.0,18,11,12084
500,1.0,18,12,11371
500,1.0,18,13,9756
500,1.0,18,14,10238
500,1.0,18,15,9505
500,1.0,18,16,9195
500,1.0,18,17,10235
500,1.0,18,18,7361
500,1.0,18,19,9500
500,1.0,18,20,8455
500,1.0,18,21,7943
500,1.0,18,22,5648
500,1.0,18,23,6533
500,1.0,18,24,7257
500,1.0,18,25,5555
500,1.0,18,26,5391
500,1.0,18,27,5141
500,1.0,18,28,4783
500,1.0,18,29,5680
500,1.0,18,30,4548
500,1.0,18,31,5096
500,1.0,18,32,5127
500,1.0,18,33,4626
500,1.0,18,34,5104
500,1.0,18,35,4297
500,1.0,18,36,3988
500,1.0,18,37,4744
500,1.0,18,38,4172
500,1.0,18,39,3303
500,1.0,18,40,4052
500,1.0,18,41,4903
500,1.0,18,42,3734
500,1.0,18,43,4197
500,1.0,18,44,4654
500,1.0,18,45,4055
500,1.0,18,46,5344
500,1.0,18,47,3784
500,1.0,18,48,4104
500,1.0,18,49,3878
500,1.0,18,50,3651
500,1.0,19,1,37957
500,1.0,19,2,25379
500,1.0,19,3,20241
500,1.0,19,4,19479
500,1.0,19,5,17475
500,1.0,19,6,16164
500,1.0,19,7,15147
500,1.0,19,8,11719
500,1.0,19,9,9574
500,1.0,19,10,9300
500,1.0,19,11,13922
500,1.0,19,12,9779
500,1.0,19,13,9492
500,1.0,19,14,7965
500,1.0,19,15,6228
500,1.0,19,16,12211
500,1.0,19,17,7995
500,1.0,19,18,6360
500,1.0,19,19,7330
500,1.0,19,20,6360
500,1.0,19,21,6036
500,1.0,19,22,5216
500,1.0,19,23,6739
500,1.0,19,24,6831
500,1.0,19,25,5576
500,1.0,19,26,5943
500,1.0,19,27,4662
500,1.0,19,28,4524
500,1.0,19,29,3552
500,1.0,19,30,5171
500,1.0,19,31,3360
500,1.0,19,32,4744
500,1.0,19,33,3754
500,1.0,19,34,4580
500,1.0,19,35,4538
500,1.0,19,36,3800
500,1.0,19,37,4267
500,1.0,19,38,3704
500,1.0,19,39,3743
500,1.0,19,40,4201
500,1.0,19,41,4232
500,1.0,19,42,3080
500,1.0,19,43,3369
500,1.0,19,44,2947
500,1.0,19,45,3871
500,1.0,19,46,3125
500,1.0,19,47,3340
500,1.0,19,48,2816
500,1.0,19,49,3185
500,1.0,19,50,3792
500,1.0,20,1,32592
500,1.0,20,2,26212
500,1.0,20,3,29550
500,1.0,20,4,21599
500,1.0,20,5,17759
500,1.0,20,6,17968
500,1.0,20,7,14024
500,1.0,20,8,16218
500,1.0,20,9,10374
500,1.0,20,10,12240
500,1.0,20,11,9330
500,1.0,20,12,7057
500,1.0,20,13,11104
500,1.0,20,14,8628
500,1.0,20,15,7062
500,1.0,20,16,6060
500,1.0,20,17,7622
500,1.0,20,18,6966
500,1.0,20,19,6415
500,1.0,20,20,6456
500,1.0,20,21,6233
500,1.0,20,22,7442
500,1.0,20,23,5455
500,1.0,20,24,6276
500,1.0,20,25,7676
500,1.0,20,26,5558
500,1.0,20,27,4987
500,1.0,20,28,6289
500,1.0,20,29,4541
500,1.0,20,30,5578
500,1.0,20,31,3337
500,1.0,20,32,4351
500,1.0,20,33,5140
500,1.0,20,34,4164
500,1.0,20,35,3877
500,1.0,20,36,3689
500,1.0,20,37,3507
500,1.0,20,38,3361
500,1.0,20,39,3733
500,1.0,20,40,5258
500,1.0,20,41,3425
500,1.0,20,42,3268
500,1.0,20,43,3389
500,1.0,20,44,3965
500,1.0,20,45,2537
500,1.0,20,46,3954
500,1.0,20,47,3336
500,1.0,20,48,3066
500,1.0,20,49,2551
500,1.0,20,50,2823
500,1.0,21,1,35024
500,1.0,21,2,22832
500,1.0,21,3,25668
500,1.0,21,4,19049
500,1.0,21,5,12395
500,1.0,21,6,12139
500,1.0,21,7,16722
500,1.0,21,8,10486
500,1.0,21,9,12308
500,1.0,21,10,10003
500,1.0,21,11,8371
500,1.0,21,12,9396
500,1.0,21,13,10280
500,1.0,21,14,9835
500,1.0,21,15,8532
500,1.0,21,16,9121
500,1.0,21,17,6836
500,1.0,21,18,10564
500,1.0,21,19,7495
500,1.0,21,20,7520
500,1.0,21,21,6252
500,1.0,21,22,6798
500,1.0,21,23,5280
500,1.0,21,24,5743
500,1.0,21,25,4631
500,1.0,21,26,6138
500,1.0,21,27,4707
500,1.0,21,28,4860
500,1.0,21,29,4675
500,1.0,21,30,5385
500,1.0,21,31,5706
500,1.0,21,32,4931
500,1.0,21,33,4478
500,1.0,21,34,4542
500,1.0,21,35,4213
500,1.0,21,36,4813
500,1.0,21,37,5115
500,1.0,21,38,3561
500,1.0,21,39,4433
500,1.0,21,40,3345
500,1.0,21,41,3774
500,1.0,21,42,3920
500,1.0,21,43,3069
500,1.0,21,44,3057
500,1.0,21,45,3335
500,1.0,21,46,2621
500,1.0,21,47,3273
500,1.0,21,48,2959
500,1.0,21,49,3150
500,1.0,21,50,3168
500,1.0,22,1,33555
500,1.0,22,2,41105
500,1.0,22,3,21009
500,1.0,22,4,20234
500,1.0,22,5,19232
500,1.0,22,6,14956
500,1.0,22,7,12791
500,1.0,22,8,12287
500,1.0,22,9,12109
500,1.0,22,10,11995
500,1.0,22,11,9564
500,1.0,22,12,8961
500,1.0,22,13,9015
500,1.0,22,14,9458
500,1.0,22,15,7236
500,1.0,22,16,7093
500,1.0,22,17,7661
500,1.0,22,18,6792
